Sample 0,,Sample 1,,Sample 2,,Sample 3,,Sample 4,,Sample 5,,Sample 6,,Sample 7,,Sample 8,,Sample 9,,Sample 10,,blank,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
722,0.0461332124190833,722,0.0872792824789656,722,0.12751799617108,722,0.163692947330498,722,0.178246622467398,722,0.173480523276518,722,0.149762222880286,722,0.134462336921877,722,0.106726779773037,722,0.0859923655637755,722,0.0765023237940883,722,0.0459363534092808
721,0.0457801960246368,721,0.0876841517184801,721,0.128350690306155,721,0.165233309895833,721,0.180628693849144,721,0.174860754173911,721,0.151454070567609,721,0.135276370494203,721,0.107172761715494,721,0.0861751657909117,721,0.076243908260347,721,0.0456277752135431
720,0.0455396543776179,720,0.0881179993154767,720,0.129794166562972,720,0.166888434131335,720,0.182227903637885,720,0.177352921148988,720,0.152815475195979,720,0.136341733381447,720,0.108154653792748,720,0.0860333248097323,720,0.0760105929809241,720,0.0451918020403863
719,0.0453432653172515,719,0.0889023631842034,719,0.131078457334581,719,0.168890568374232,719,0.184805694086573,719,0.178928601208043,719,0.154197774612423,719,0.137693223489448,719,0.10891547596747,719,0.0863515058271246,719,0.0759730965583482,719,0.0451695409317366
718,0.0454312600879028,718,0.0893708193985081,718,0.132033245421349,718,0.170940843665154,718,0.186995669681182,718,0.180888204808474,718,0.156107187780622,718,0.138662289843315,718,0.10964364536385,718,0.0869423007502787,718,0.0757898546995785,718,0.04527649085231
717,0.0449758456422924,717,0.0897694955778327,717,0.133407375799519,717,0.172147527319492,717,0.188863677897405,717,0.18269163207135,717,0.157182321852953,717,0.14002560602177,717,0.11038895847213,717,0.0869853105211775,717,0.0755665484521515,717,0.0446974433629004
716,0.044513795575035,716,0.0900597848605688,716,0.134384057985778,716,0.174453968362112,716,0.190723450554468,716,0.185124957526696,716,0.158692151770261,716,0.14109614203963,716,0.110894052885804,716,0.0871566645167672,716,0.0753223587859999,716,0.0442170596117939
715,0.0441651588210541,715,0.090907404364671,715,0.135575324148228,715,0.176168173077941,715,0.192841920336162,715,0.186426630800805,715,0.159942069282357,715,0.142170903560886,715,0.111530029667834,715,0.087409152870063,715,0.0751887577882709,715,0.0439581618821836
714,0.0439337871445389,714,0.0909607666933773,714,0.136799270737388,714,0.177872249412374,714,0.195704978687243,714,0.188892190172933,714,0.16142430009909,714,0.143161506057583,714,0.112918411847601,714,0.0876519687438087,714,0.0751894964826327,714,0.0438724696768771
713,0.0439780407656179,713,0.0914697936023368,713,0.138179265525669,713,0.180060250753897,713,0.197286862698965,713,0.190809119131834,713,0.163396895110168,713,0.144849934733659,713,0.113324357948491,713,0.0875666447230321,713,0.0750935998380186,713,0.0436863077926728
712,0.0438532828969453,712,0.0920861248585332,712,0.139927453919983,712,0.182525138791941,712,0.200371475483438,712,0.193455237263203,712,0.165400084452684,712,0.146062870053667,712,0.114535581639159,712,0.0881131161584061,712,0.0749246627563448,712,0.0436029301680266
711,0.0435372239643249,711,0.0931663485652746,711,0.141099867635637,711,0.184957449698063,711,0.202742468195421,711,0.195741743838385,711,0.167057785119436,711,0.147827830951125,711,0.115394136756915,711,0.0887859552580329,711,0.0748394346205564,711,0.0434398276569349
710,0.0435629500785774,710,0.0937476051173188,710,0.143315658233092,710,0.18699387795474,710,0.205110535275059,710,0.197895184031733,710,0.16923671192285,710,0.149089112849,710,0.116457969375536,710,0.0887284139416649,710,0.0748327917730982,710,0.043285194377846
709,0.0435477832194984,709,0.094953235762655,709,0.144613502992919,709,0.189345518815651,709,0.207858011519702,709,0.200423996448256,709,0.170730582083946,709,0.150636781502294,709,0.117517356858398,709,0.0895265112109845,709,0.0751902659572623,709,0.043174902355173
708,0.0433514917309367,708,0.0950080962585611,708,0.145312188178598,708,0.191126838816944,708,0.210356680914686,708,0.202098630311349,708,0.172280065606401,708,0.152154412916374,708,0.118177794099711,708,0.0893003232030981,708,0.0746001102036073,708,0.043027880354283
707,0.0429520589830383,707,0.0957831973266682,707,0.147275096444527,707,0.192912024078998,707,0.21240582616119,707,0.204875806149124,707,0.174442711800716,707,0.153783729170771,707,0.119147620009044,707,0.089421830547289,707,0.0747719652376344,707,0.0427223036185597
706,0.0431501426864393,706,0.0964512260190424,706,0.148941105074,706,0.195703963119507,706,0.21508928530439,706,0.207375980123457,706,0.176340133335813,706,0.154808418170843,706,0.120558832700704,706,0.0906876411132388,706,0.0747263970453783,706,0.042767148078008
705,0.0432096140133296,705,0.0974583585141471,705,0.150829694268299,705,0.198322415624913,705,0.218693590808396,705,0.210045785211423,705,0.178274875412814,705,0.156484779822051,705,0.121865272727719,705,0.0914575870935352,705,0.0746587607714053,705,0.042650704899421
704,0.0429695484527306,704,0.0986980993319712,704,0.152768333473243,704,0.200822237228113,704,0.221604610025871,704,0.212669625462191,704,0.180876623200902,704,0.158303691439526,704,0.122872746508847,704,0.0913043319387407,704,0.0748597020839961,704,0.0427344997105675
703,0.0428938515564208,703,0.0991214028133465,703,0.154103121939284,703,0.203293660806447,703,0.22418677936998,703,0.215250642871587,703,0.182413627144331,703,0.159895569131375,703,0.124088163328187,703,0.0919684446515204,703,0.0751356674213209,703,0.0426071288489101
702,0.0430080449138375,702,0.100043422077953,702,0.156018161290995,702,0.206319513566958,702,0.226877785215391,702,0.218282094442731,702,0.185248469533586,702,0.161786820347715,702,0.125295868167776,702,0.0924105344117655,702,0.0750366135322427,702,0.0428218245941869
701,0.0430162190634139,701,0.101367948328923,701,0.157996428302119,701,0.20967801282902,701,0.230357424119265,701,0.220486765996284,701,0.1871078066475,701,0.163842898860499,701,0.126893862907322,701,0.0932919909777514,701,0.0752376066585287,701,0.042980065335694
700,0.0429768359396458,700,0.101873257586201,700,0.159757295204622,700,0.211794556338121,700,0.233119734778711,700,0.223464906167237,700,0.189416701978665,700,0.165438122413916,700,0.127928374625158,700,0.0935984208091848,700,0.0754308705762588,700,0.0427530658477366
