s.1,,Sample 6,,Sample 10,,Blank,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
576,0.0318614680180411,576,0.0328051829861149,576,0.0674386339454137,576,0.0306651780679331
575,0.0318846730669047,575,0.032620104438098,575,0.0663155446950836,575,0.0302968348625082
574,0.032124345379689,574,0.0328819616731198,574,0.0654324676114727,574,0.0306930421318974
573,0.0323159331141601,573,0.0330614813268436,573,0.0648805118431025,573,0.0308561508259611
572,0.0322141903951982,572,0.0330381853836133,572,0.0637762719050001,572,0.0305715701276043
571,0.0320563397942227,571,0.0328950014385033,571,0.0625771149753888,571,0.0304555465085476
570,0.0323530504641923,570,0.0331590920660715,570,0.061972849345326,570,0.0305362432353916
569,0.0325141335695938,569,0.0331597626221203,569,0.0613095590466343,569,0.0307550273337794
568,0.032895308589731,568,0.0336816013811508,568,0.0606646338086836,568,0.0311007897466673
567,0.0329395127088636,567,0.033808339596198,567,0.0598192228781439,567,0.0310489592706305
566,0.0325377362167076,566,0.0332784673555489,566,0.0586710746552784,566,0.0304974480647035
565,0.0327247334860799,565,0.0334194574020381,565,0.0582187968803605,565,0.0303781683765799
564,0.0331719725112353,564,0.0338614799314051,564,0.0575119167144759,564,0.0303394706003949
563,0.0332628449869883,563,0.0340961978881578,563,0.0570406227166699,563,0.0307190742834765
562,0.0333626533686458,562,0.0340823100276476,562,0.0566079977864708,562,0.0308077119860252
561,0.0334155434999992,561,0.0342043199888097,561,0.0557846556694296,561,0.030655177444054
560,0.0336026115448831,560,0.0344096328283304,560,0.0556105885335194,560,0.0307139621903513
559,0.0337942930533338,559,0.0345396388360804,559,0.054989019015609,559,0.0308568734198352
558,0.0341232468912845,558,0.0347593558837868,558,0.0546026955300864,558,0.0310809911093805
557,0.0342374817065545,557,0.0349119083047077,557,0.054174309301401,557,0.0309947718947824
556,0.034345190731556,556,0.0352678478765982,556,0.0536061564016896,556,0.0308426996825734
555,0.0347867266701096,555,0.0354816416170145,555,0.0530946724767636,555,0.0310748459293929
554,0.0349284036684769,554,0.0357393842824525,554,0.0529978583631379,554,0.0311727898724461
553,0.03487013968373,553,0.0354065364343387,553,0.0519898763018217,553,0.0305670430146939
552,0.0346290878551166,552,0.0351080136417006,552,0.0515830058237147,552,0.030503585079998
551,0.0350548047568257,551,0.0358147438318282,551,0.0517672183445984,551,0.0309151851500854
550,0.035498411451375,550,0.0361163409933833,550,0.0513925775923984,550,0.0309437602003245
549,0.0359565035621877,549,0.0366148219069339,549,0.0513938596581844,549,0.0314488870723173
548,0.0360066731870369,548,0.0368612337425098,548,0.0510858064887195,548,0.0314181916603076
547,0.0358354903821725,547,0.0364089990042367,547,0.050181522680958,547,0.0309649147317228
546,0.0356958216900806,546,0.0365023533656653,546,0.0496504880323699,546,0.0307148512457027
545,0.0364142348757013,545,0.0371569603431001,545,0.0499622292047083,545,0.0311051833868642
544,0.0367574628668517,544,0.0375427702350319,544,0.0496666821466368,544,0.0312159289219968
543,0.0370470576694067,543,0.0377808987103682,543,0.0497347736857049,543,0.0313991576985796
542,0.0366696587704865,542,0.037501368685235,542,0.0490017692268989,542,0.0310167629802415
541,0.0358471291248448,541,0.0367044177176375,541,0.0479189718192436,541,0.0300551171923724
540,0.0361880521037119,540,0.0369806727867942,540,0.0478858182547552,540,0.0301243083468189
539,0.0372060561830518,539,0.0379269740369367,539,0.0483567089192549,539,0.0309556577600423
538,0.0380477237981832,538,0.0388179894653013,538,0.0488064734463882,538,0.0315174099529569
537,0.0376167214735769,537,0.0384909489454636,537,0.0481679211753703,537,0.0310150114370463
536,0.0375083110009844,536,0.0384003617094817,536,0.047713992119257,536,0.030713462097516
535,0.0388441169239774,535,0.0395456448571804,535,0.0483648107507539,535,0.0317115425896914
534,0.0385955026927027,534,0.0393511251932905,534,0.0480568738670658,534,0.0313828514883974
533,0.0377295354798306,533,0.0387706356834969,533,0.0470467806600428,533,0.0304043204762363
532,0.0383937444627844,532,0.0392256775990092,532,0.04730233106461,532,0.0307388286436361
531,0.0393081623257736,531,0.0400608822949938,531,0.0479194632163041,531,0.031402552583844
530,0.0399042406019435,530,0.0407306309194931,530,0.0482493449904102,530,0.0318375678353273
529,0.0390601603658038,529,0.0398114856300334,529,0.0471947368668079,529,0.0306974316489366
528,0.0383939424131458,528,0.0391996688316695,528,0.0464111830494036,528,0.0299634434082297
527,0.0393789002851361,527,0.0399965896404783,527,0.0469497766784704,527,0.030625482504166
526,0.0395060081641611,526,0.0403774601535258,526,0.0471625330576121,526,0.0305389926309573
525,0.0396610314745981,525,0.0403779714992588,525,0.0469253199807446,525,0.0302880917225116
524,0.0401545423573086,524,0.0409021901732158,524,0.0471262633469439,524,0.0305466854766902
523,0.0404159832179013,523,0.0413575929687822,523,0.0473064010035533,523,0.0308417269920761
522,0.0409093861660915,522,0.0417521984653487,522,0.0475320103165359,522,0.0309283883686235
521,0.0415245294627055,521,0.0419832944128181,521,0.0479320373890543,521,0.0311197828270075
520,0.0418770382879194,520,0.042760435396077,520,0.0481554847784682,520,0.0314194439238786
519,0.0417931237318531,519,0.042548253869624,519,0.0478560486839441,519,0.030949180777065
518,0.0415449524050793,518,0.0423104368037738,518,0.047281837625374,518,0.0304561296038575
517,0.0419121595183085,517,0.0427296726449096,517,0.0475823221022509,517,0.0304323899277255
516,0.0425893398832661,516,0.043231774883645,516,0.0478902405107116,516,0.0307712822013712
515,0.0429452005597272,515,0.0438072667165696,515,0.0483711187099257,515,0.0310187925550012
514,0.0434202022556333,514,0.0441409443952069,514,0.0487584234621413,514,0.031182941487603
513,0.0437522655949393,513,0.0446127813214227,513,0.0489963504024487,513,0.0310507109507456
512,0.0439628594036572,512,0.0447494938941495,512,0.0490268647714728,512,0.0308798858843457
511,0.0444188753533708,511,0.0451694834851904,511,0.0494173655183,511,0.0309068186867366
510,0.0448364786877493,510,0.0454652615365456,510,0.049579914283675,510,0.0309207165548905
509,0.0450128262985807,509,0.0456772342175904,509,0.0497263269684927,509,0.0307875376773764
508,0.0453078655270233,508,0.0461328669742503,508,0.0500343174518122,508,0.030805600031009
507,0.0460427728284447,507,0.046939682355657,507,0.0505296158454224,507,0.0308015706716387
506,0.0464291004474437,506,0.0472461351686613,506,0.0509779987271246,506,0.0310247145191291
505,0.046939941921019,505,0.0478362516039945,505,0.0515284684852396,505,0.0309560747365049
504,0.0474370634229691,504,0.0482158480167963,504,0.0517570989146401,504,0.0308258307589603
503,0.0479326733338997,503,0.0489141200709459,503,0.0523071853324132,503,0.0309525165502257
502,0.048654695330543,502,0.0495433260771364,502,0.0530357039699212,502,0.0310047803417488
501,0.0494752935549777,501,0.0503476714782994,501,0.0536916820126552,501,0.0310536026286163
500,0.050245800805882,500,0.0510771587542252,500,0.0545066305531488,500,0.0310873866379049
499,0.0507907743691665,499,0.0517473004982204,499,0.055130948141404,499,0.0311579661592989
498,0.0515918968461481,498,0.0525621111348069,498,0.0557645232900144,498,0.0310391722355593
497,0.0521958045020302,497,0.0530012801255111,497,0.0561135872548173,497,0.0307438298900126
496,0.0529266216391847,496,0.0537035163345958,496,0.0570944396089004,496,0.0305171368055655
495,0.0542984306377862,495,0.0550030335547446,495,0.0582804568507473,495,0.0308804417560594
494,0.0558649001267142,494,0.0567462681642821,494,0.059882893287796,494,0.0315741401601581
493,0.0575966189491939,493,0.058313584568894,493,0.0614080055432518,493,0.0318455344167573
492,0.057653253942856,492,0.0583141766869324,492,0.061538477060375,492,0.0309599665361281
491,0.0581997056735954,491,0.0588527757958864,491,0.0620816895165466,491,0.0301607393948667
490,0.0605182663987368,490,0.0614187101870813,490,0.0645126804025488,490,0.0311027919063078
489,0.0626434636125244,489,0.0633274840415456,489,0.0665380053494131,489,0.0315468319077275
488,0.063324908378406,488,0.0642353679474224,488,0.0672843745994503,488,0.0308018207687184
487,0.0645102478574632,487,0.0652050678181156,487,0.0682813311475423,487,0.0303160981476069
486,0.0676322082287448,486,0.0684241569706726,486,0.0713138569670678,486,0.031254176343856
485,0.0702017090943147,485,0.0709373991648566,485,0.0740495255028425,485,0.0316950297260413
