Sample 1,,Sample 2,,Sample 3,,Sample 4,,Sample 5,,Sample 0,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
642,0.120011733101086,642,0.209511457307433,642,0.278888565474798,642,0.372171622178791,642,0.447000440276853,642,0.0419621380485118
641,0.121119554482257,641,0.211698493532931,641,0.282054545737508,641,0.376522031540552,641,0.452182049452046,641,0.0418260434405155
640,0.122116759268961,640,0.213778387034649,640,0.285291505230067,640,0.381020922165614,640,0.457609800222096,640,0.0420980471509061
639,0.123023504088833,639,0.216027850804604,639,0.288490699484896,639,0.384998341115307,639,0.46258743130573,639,0.0419641909120273
638,0.124020342297759,638,0.217870773853451,638,0.291443023604972,638,0.389305522100471,638,0.467735389037924,638,0.0419040061223959
637,0.125088003492884,637,0.220096384116046,637,0.294683893163057,637,0.393316230876819,637,0.472969868653391,637,0.0418887260443981
636,0.126268548077714,636,0.222480464055579,636,0.298097203690173,636,0.398097028980548,636,0.478436815771783,636,0.0421016978350329
635,0.127247054702357,635,0.224570958469571,635,0.301281084468726,635,0.402262034781572,635,0.483810260984498,635,0.0419670421274523
634,0.127998650956037,634,0.226616731024413,634,0.304251333170994,634,0.406175295660086,634,0.488767637094939,634,0.041871166021676
633,0.128865945581571,633,0.228650448561495,633,0.307413330413139,633,0.410518696256444,633,0.493970314671738,633,0.0416440899545375
632,0.130351745377763,632,0.231224323261666,632,0.310938802243028,632,0.415258935606025,632,0.499668111206594,632,0.0417459289183857
631,0.131260877062094,631,0.233393500942038,631,0.314406811413334,631,0.419518253507145,631,0.505767455724551,631,0.041807146367608
630,0.132437766204666,630,0.235733810530222,630,0.317616359066769,630,0.424354759362748,630,0.510903460275101,630,0.0419506193832093
629,0.133615705367193,629,0.238150805076208,629,0.321279601759115,629,0.428928205698718,629,0.516847862366724,629,0.042110910244686
628,0.134807864086374,628,0.240637410860258,628,0.324771065870065,628,0.433599922613785,628,0.522234602199451,628,0.0420198500209077
627,0.135429339753387,627,0.242414554023014,627,0.327507588965641,627,0.437327085942561,627,0.526933653010449,627,0.0417190278896745
626,0.13642380362803,626,0.244218939772744,626,0.330569550424728,626,0.441833849696846,626,0.531822590850289,626,0.041622351824911
625,0.137693969899203,625,0.246689467144987,625,0.33424832417495,625,0.446285613987387,625,0.537928836321255,625,0.0416960607452473
624,0.139074140864939,624,0.249359005003003,624,0.337899570471974,624,0.451626388778722,624,0.544154376163361,624,0.0419840642730015
623,0.139794928400751,623,0.251620780644941,623,0.341334794028863,623,0.455783513898981,623,0.549836673766949,623,0.0419162932914959
622,0.140964477075252,622,0.254145098169695,622,0.344919791445089,622,0.46050736207378,622,0.555732488045061,622,0.0419636776952387
621,0.142415315166436,621,0.256244279081527,621,0.34828750219393,621,0.465585427914477,621,0.561142352197097,621,0.0420192797069824
620,0.143350405828865,620,0.258597178668498,620,0.351849693878843,620,0.469849955602478,620,0.567046664727192,620,0.0419546394767404
619,0.144142792979664,619,0.260726724177038,619,0.354944328272854,619,0.474637210260029,619,0.572638163420082,619,0.0421559768603801
618,0.145170271106773,618,0.263244316755284,618,0.358927254696573,618,0.479171388180361,618,0.578441035070161,618,0.0418607329677959
617,0.146525981731706,617,0.265719835143924,617,0.36227576423325,617,0.484144256955344,617,0.583772910356789,617,0.0419399278261839
616,0.14797818936517,616,0.268093295946477,616,0.365970355020484,616,0.488921139035042,616,0.590531562966818,616,0.042046484515416
615,0.148891828984973,615,0.270632988302307,615,0.369420577980692,615,0.49374872710955,615,0.595823138362614,615,0.0420319693688779
614,0.150300204350495,614,0.273072409294744,614,0.373279518112319,614,0.498765203681416,614,0.602031155316591,614,0.0421971113600939
613,0.151313396671658,613,0.275755169272785,613,0.377077779906584,613,0.503739105739516,613,0.608022145261269,613,0.0422363667764674
612,0.153037378659682,612,0.278283548794743,612,0.38071420728836,612,0.508836876890936,612,0.613434580738587,612,0.0424620972153503
611,0.154314900779243,611,0.281118798050959,611,0.384643016924065,611,0.513999001672849,611,0.620402510170752,611,0.0429116529996774
610,0.15490522163,610,0.282995691258598,610,0.387559587595027,610,0.517746134486557,610,0.625135449404095,610,0.0421652474720265
609,0.155562302483575,609,0.284595498867652,609,0.390195749651551,609,0.5214054277241,609,0.62987612926849,609,0.0416518680817427
608,0.156846615964017,608,0.287224321009431,608,0.394170841589206,608,0.526961568166484,608,0.636545453929098,608,0.0419443469711754
607,0.15876620672233,607,0.290453500730359,607,0.398630800644049,607,0.532333987441148,607,0.643814355657841,607,0.0423434813607511
606,0.159840807840099,606,0.293192106412269,606,0.402710945314427,606,0.53764548734909,606,0.650058808010793,606,0.0425558197997503
605,0.160468844908859,605,0.295030974091196,605,0.405461240780778,605,0.54170191675401,605,0.655121142034532,605,0.0421790539189505
604,0.161208351398974,604,0.29679874925869,604,0.408194209613779,604,0.545580610289978,604,0.660036998660895,604,0.0417623154251729
603,0.162367264703878,603,0.299235461895141,603,0.412095274046231,603,0.550528111803186,603,0.665388134262532,603,0.0416997650412294
602,0.163538105858328,602,0.301760075565676,602,0.415748088582921,602,0.555603097304173,602,0.672328220008862,602,0.0419039205980751
601,0.165110627741716,601,0.304407572617821,601,0.419587936929639,601,0.560632140328906,601,0.677767621955164,601,0.0421262551874802
600,0.166371512353163,600,0.307200942892481,600,0.423451023381322,600,0.565849112973862,600,0.684560949622134,600,0.0422413024832685
599,0.16785828571984,599,0.310071543933121,599,0.427542270989192,599,0.570872184548994,599,0.690588975015608,599,0.0427374131134364
598,0.169070788391589,598,0.312401369765226,598,0.431291411139042,598,0.57605052374829,598,0.696729628648688,598,0.0426195501477885
597,0.169297105174126,597,0.313940367850073,597,0.43366157392084,597,0.579537144127486,597,0.700829316679887,597,0.0418432310851084
596,0.170170841339202,596,0.31578478452401,596,0.436679391706666,596,0.583761593221217,596,0.706820753199205,596,0.0414551783817995
595,0.171528396870871,595,0.318629011335285,595,0.440544574779929,595,0.588902815316683,595,0.712643951356277,595,0.0418530366132803
594,0.172291689650152,594,0.320811573880512,594,0.443930374303717,594,0.593332193088232,594,0.718088246589489,594,0.0415858296584845
593,0.173547415702559,593,0.323179545857208,593,0.447291333471666,593,0.597924168841682,593,0.723770728307254,593,0.0415757737821816
592,0.174837523339753,592,0.325808862919546,592,0.4511155052878,592,0.602875258060529,592,0.730413916823226,592,0.0418013605504277
591,0.175981335260737,591,0.327983939513015,591,0.45464976569888,591,0.607694641292669,591,0.736198756178441,591,0.04183670369055
590,0.176615442551098,590,0.329956031826126,590,0.457770498720551,590,0.612048652603829,590,0.740858773141079,590,0.0414137439040111
589,0.177425398105446,589,0.331993214659403,589,0.460777306330478,589,0.616581959097232,589,0.746587370509901,589,0.0411219634966442
588,0.17845235686874,588,0.334451018636711,588,0.464208941563388,588,0.620710747156428,588,0.751814795659294,588,0.0413048940048109
587,0.179635218470966,587,0.336845610943431,587,0.467713578278085,587,0.625307027496885,587,0.757789396367782,587,0.0411412291916344
586,0.180782843185989,586,0.339060794391173,586,0.470650270956453,586,0.63011149517777,586,0.76354244403675,586,0.0411685782706947
